reviewer_ID,product_ID,rating
A11YJQHDBN1A30,B009JXZVRQ,4.0
A3FZFH11J3BU7L,B0013CQFZS,4.0
A3O9WW2PLCOE7F,B000FKJPL0,3.0
A1HT8L6F291Y5Z,B000P1PLFS,5.0
A27Z6G50WES558,B00A8EILT0,5.0
A3JFS5A1QN3XZJ,B0081TXGJY,4.0
A2CE9KDGB21OP4,B000NK7LEU,5.0
A1NPUDHJL002YK,B002O3W4LE,5.0
A1NWZDZ5BQS8M9,B00AVWKUWA,4.0
A2JRMAZ2GSJMQI,B001L9BG3Y,3.0
A35L81CBN2Z8C0,B000F8THGK,4.0
AGT5B3HI2KCNJ,B001B1P9OE,3.0
A1S66TK7AVQEQL,B00FJV0T7O,4.0
ALS7U1SKMQZ7,B004412E8W,5.0
ALFJ033IVTJ21,B001D61JBY,4.0
A2DJFYBB2L5VSN,B00005T407,4.0
A2VIP0CJVMR572,B000H6991S,5.0
A3C9T1UOHGWU79,B004ZMH2KK,1.0
A3UW0PQLDUACMH,B001B90Q94,5.0
A1Z2N0T5PPA7WP,B0007LRJXS,5.0
A3AYXY2HYSAP0G,B000EC0GJE,5.0
A3FCTLGVM208OO,B0036TKE8K,5.0
A3TK84WKDZUGM,B00BJEJX1S,5.0
A2X3ZCTZ6PUHMC,B000QX77WK,2.0
A8ADH94MKPCTM,B00061RWQS,5.0
A1SVTENEEJ67P2,B000PDFQ6K,5.0
A3U0NAPEZUZD6H,B001PNW3VA,1.0
ANRLCZGT5TLQB,B0000AQOAO,5.0
A3GZJKQ91ZNCJZ,B00BBAXNUM,5.0
A3CIRXHGNZQSPD,B002BWDKQQ,4.0
A1FES5X4YMHR8K,B005QAQFFS,1.0
A2SH6A32BE6NEV,B00006B7UW,2.0
A1V42QBMTG8JEK,B001F0XS1W,1.0
A37O5QF53XYI6U,B00ETHLQ8U,5.0
A3JDNMUI86DTTS,B00AUKYNS0,4.0
A1KOAG8Q7407RL,B007B5TABW,5.0
AV4B60JK58LJL,B00DHJ8QLQ,5.0
A3CIRXHGNZQSPD,B000WOZHUW,5.0
A10ZWUOV6ULAAB,B0041OV5WI,5.0
A3EPJKDWA3IVND,B00EANURCE,5.0
AQ54FQ10QJP5U,B00006IDA3,5.0
A37U5TRGO2F3LX,B000GAVIWI,5.0
A314KKDIJWCNMV,B0052QOU12,4.0
AB6HOGKLSR7Q,B0010T1NLU,1.0
A2256KRD8N3FIV,B0018RJK0U,2.0
AHSA9VG7ZXQFU,B00006IFPV,1.0
AO2FLTIMNWT4M,B001VG6V0K,4.0
A1T5FPG9FSJWUP,B0013NT8MO,5.0
A25KC401XVMYI1,B00AVBH452,5.0
